fromNode toNode weight direction fromAltName toAltName
Aldh1a2 Arpp21 0.0451457885996971 undirected NA NA
Aldh1a2 Arrdc1 0.0345248951355425 undirected NA NA
Aldh1a2 BC051226 0.0363618664642685 undirected NA NA
Aldh1a2 Cd97 0.0232664510644608 undirected NA NA
Aldh1a2 Chordc1 0.0239101949534283 undirected NA NA
Aldh1a2 Creld2 0.0285396040777483 undirected NA NA
Aldh1a2 Cryab 0.0896640357766569 undirected NA NA
Aldh1a2 Cys1 0.0993859957438951 undirected NA NA
Aldh1a2 Dhcr24 0.0270447495085142 undirected NA NA
Aldh1a2 Dnajc3 0.0358097921239666 undirected NA NA
Aldh1a2 Fdft1 0.0427707406904016 undirected NA NA
Aldh1a2 Fdps 0.0486634344686721 undirected NA NA
Aldh1a2 Gm6741 0.0611619138719708 undirected NA NA
Aldh1a2 Hspa5 0.0431206628063877 undirected NA NA
Aldh1a2 Hspb1 0.0790431662341071 undirected NA NA
Aldh1a2 Insig1 0.0339302416967777 undirected NA NA
Aldh1a2 Klhl29 0.0270318100412447 undirected NA NA
Aldh1a2 Lamr1-ps1 0.0455979493581394 undirected NA NA
Aldh1a2 Manf 0.0614098356649863 undirected NA NA
Aldh1a2 Mapk12 0.155760227945625 undirected NA NA
Aldh1a2 Mical1 0.0680496324791893 undirected NA NA
Aldh1a2 Nsdhl 0.021341063364563 undirected NA NA
Aldh1a2 Pdia6 0.0288856408114169 undirected NA NA
Aldh1a2 Prnp 0.0427014778547793 undirected NA NA
Aldh1a2 Psen1 0.0355120646683466 undirected NA NA
Aldh1a2 Pstpip2 0.184638588450009 undirected NA NA
Aldh1a2 Rps6ka5 0.0597468679228753 undirected NA NA
Aldh1a2 Sars2 0.0364045322197367 undirected NA NA
Aldh1a2 Sc4mol 0.0341602932639241 undirected NA NA
Aldh1a2 Sdf2l1 0.0485911539499305 undirected NA NA
Aldh1a2 Slc6a13 0.106927613565968 undirected NA NA
Aldh1a2 Srebf1 0.0465789776605482 undirected NA NA
Aldh1a2 Stard4 0.0774025936027403 undirected NA NA
Aldh1a2 Taf6l 0.0439685341730988 undirected NA NA
Aldh1a2 Tnni1 0.0801596652518362 undirected NA NA
Aldh1a2 Xbp1 0.102392032864619 undirected NA NA
App Arpp21 0.130910395082367 undirected NA NA
App Cryab 0.219406853393042 undirected NA NA
App Cys1 0.0330955943853249 undirected NA NA
App Dhcr24 0.0577214372696952 undirected NA NA
App Fdft1 0.122008443870192 undirected NA NA
App Fdps 0.031905753315908 undirected NA NA
App Lamr1-ps1 0.710515139674946 undirected NA NA
App Nsdhl 0.204626158274706 undirected NA NA
App Prnp 0.673030758355003 undirected NA NA
App Psen1 0.678650529908833 undirected NA NA
App Pstpip2 0.0223341214012007 undirected NA NA
App Rps6ka5 0.0333639120707563 undirected NA NA
App Stard4 0.0534930653181307 undirected NA NA
App Tox 0.0299020214342022 undirected NA NA
Arpp21 Arrdc1 0.0654720844829396 undirected NA NA
Arpp21 BC051226 0.0344378043051572 undirected NA NA
Arpp21 Cd97 0.0712208019953387 undirected NA NA
Arpp21 Chordc1 0.0340876981813683 undirected NA NA
Arpp21 Creld2 0.0494439073956775 undirected NA NA
